species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,diet,life_stage,health_metrics,year
Adelie,Dream,15.6,15.3,215.0,4121.0,female,krill,juvenile,healthy,2021
Adelie,Dream,23.5,15.0,196.0,3770.0,female,krill,juvenile,healthy,2021
Adelie,Dream,23.9,18.0,160.0,3837.0,female,krill,juvenile,healthy,2021
Adelie,Dream,27.0,13.0,191.0,3812.0,female,krill,juvenile,healthy,2021
Adelie,Dream,18.4,18.1,166.0,3777.0,female,krill,juvenile,healthy,2021
Adelie,Dream,36.4,20.2,186.0,4317.0,female,krill,adult,healthy,2021
Adelie,Dream,28.5,19.8,197.0,3817.0,female,krill,juvenile,healthy,2021
Adelie,Dream,30.6,19.0,184.0,3889.0,female,krill,juvenile,healthy,2021
Adelie,Dream,22.4,19.3,179.0,3783.0,female,krill,juvenile,healthy,2021
Adelie,Dream,22.1,15.8,183.0,3870.0,female,krill,juvenile,healthy,2021
Adelie,Dream,29.7,14.8,188.0,5760.0,male,krill,juvenile,overweight,2021
Adelie,Dream,29.0,19.0,184.0,3977.0,male,krill,juvenile,underweight,2021
Adelie,Dream,32.6,22.8,197.0,5480.0,male,krill,adult,healthy,2021
Adelie,Dream,25.7,19.2,216.0,4000.0,male,krill,juvenile,underweight,2021
Adelie,Dream,21.9,18.6,224.0,5129.0,male,krill,juvenile,overweight,2021
Adelie,Dream,36.0,14.7,214.0,4853.0,male,krill,juvenile,healthy,2021
Adelie,Dream,32.0,15.6,211.0,4195.0,male,krill,juvenile,underweight,2021
Adelie,Dream,32.1,19.6,207.0,4187.0,male,krill,juvenile,underweight,2021
Adelie,Dream,25.0,17.2,181.0,5027.0,male,krill,juvenile,healthy,2021
Adelie,Dream,28.0,19.5,197.0,4896.0,male,krill,juvenile,healthy,2021
Adelie,Dream,28.0,21.1,213.0,4314.0,male,krill,juvenile,underweight,2021
Adelie,Dream,30.2,22.7,226.0,5128.0,male,krill,adult,healthy,2021
Adelie,Dream,34.5,19.0,192.0,4447.0,male,krill,juvenile,underweight,2021
Adelie,Dream,38.1,20.4,216.0,4198.0,male,krill,juvenile,underweight,2021
Adelie,Dream,29.8,22.8,186.0,4999.0,male,krill,juvenile,healthy,2021
Adelie,Dream,32.1,17.7,197.0,4259.0,male,krill,juvenile,underweight,2021
Adelie,Dream,33.1,20.2,240.0,5581.0,male,krill,adult,healthy,2021
Adelie,Dream,33.8,16.6,168.0,3194.0,female,parental,chick,healthy,2021
Adelie,Dream,35.8,15.6,174.0,2977.0,female,parental,chick,healthy,2021
Adelie,Dream,23.0,16.7,157.0,3063.0,female,parental,chick,healthy,2021
Adelie,Dream,42.8,14.1,195.0,3061.0,female,parental,chick,healthy,2021
Adelie,Dream,38.1,14.0,181.0,2715.0,female,parental,chick,underweight,2021
Adelie,Dream,27.1,13.7,179.0,3471.0,female,parental,chick,overweight,2021
Adelie,Dream,32.8,17.0,162.0,3196.0,female,parental,chick,healthy,2021
Adelie,Dream,29.8,17.2,184.0,3016.0,female,parental,chick,healthy,2021
Adelie,Dream,31.7,13.4,180.0,2955.0,female,parental,chick,healthy,2021
Adelie,Dream,29.3,13.6,176.0,3265.0,female,parental,chick,overweight,2021
Adelie,Dream,35.5,15.3,184.0,3678.0,male,parental,chick,healthy,2021
Adelie,Dream,44.6,16.5,185.0,3411.0,male,parental,chick,healthy,2021
Adelie,Dream,38.7,19.7,232.0,4885.0,female,squid,adult,healthy,2021
Adelie,Dream,40.7,21.8,219.0,5718.0,male,squid,adult,healthy,2021
Adelie,Dream,43.6,18.6,208.0,6896.0,male,squid,adult,overweight,2021
Adelie,Dream,42.1,20.2,240.0,6157.0,male,squid,adult,overweight,2021
Adelie,Dream,37.7,23.8,214.0,6280.0,male,squid,adult,overweight,2021
Adelie,Torgensen,44.1,17.2,209.0,5344.0,female,fish,juvenile,overweight,2021
Adelie,Torgensen,40.6,18.0,209.0,5121.0,female,fish,juvenile,overweight,2021
Adelie,Torgensen,49.2,16.6,224.0,5126.0,female,fish,adult,overweight,2021
Adelie,Torgensen,52.6,19.5,255.0,4995.0,female,fish,adult,healthy,2021
Adelie,Torgensen,45.4,14.7,254.0,5732.0,female,fish,adult,overweight,2021
Adelie,Torgensen,43.4,14.5,267.0,6476.0,male,fish,adult,overweight,2021
Adelie,Torgensen,52.5,23.2,212.0,6019.0,male,fish,juvenile,overweight,2021
Adelie,Torgensen,63.2,22.4,271.0,5496.0,male,fish,adult,healthy,2021
Adelie,Torgensen,34.8,21.0,259.0,6064.0,male,fish,juvenile,overweight,2021
Adelie,Torgensen,48.5,17.4,255.0,7028.0,male,fish,adult,overweight,2021
Adelie,Torgensen,65.2,16.9,240.0,6735.0,male,fish,adult,overweight,2021
Adelie,Torgensen,21.8,18.1,177.0,4146.0,female,krill,juvenile,healthy,2021
Adelie,Torgensen,27.0,17.3,194.0,3973.0,female,krill,adult,underweight,2021
Adelie,Torgensen,28.8,17.7,213.0,4301.0,male,krill,juvenile,underweight,2021
Adelie,Torgensen,24.6,19.9,196.0,4272.0,female,krill,juvenile,healthy,2021
Adelie,Torgensen,26.4,21.5,193.0,3966.0,female,krill,juvenile,healthy,2021
Adelie,Torgensen,24.9,21.2,217.0,4716.0,female,krill,adult,healthy,2021
Adelie,Torgensen,28.6,18.5,180.0,3826.0,female,krill,juvenile,healthy,2021
Adelie,Torgensen,19.8,17.6,166.0,3713.0,female,krill,juvenile,healthy,2021
Adelie,Torgensen,33.1,17.2,179.0,3822.0,female,krill,juvenile,healthy,2021
Adelie,Torgensen,29.2,17.2,200.0,3598.0,female,krill,juvenile,underweight,2021
Adelie,Torgensen,21.9,17.2,172.0,3615.0,female,krill,juvenile,underweight,2021
Adelie,Torgensen,31.6,18.6,205.0,5467.0,female,krill,adult,overweight,2021
Adelie,Torgensen,23.0,18.1,192.0,5110.0,female,krill,adult,overweight,2021
Adelie,Torgensen,26.7,17.7,229.0,4103.0,male,krill,adult,underweight,2021
Adelie,Torgensen,32.3,15.0,178.0,4784.0,male,krill,juvenile,healthy,2021
Adelie,Torgensen,23.0,19.8,221.0,6440.0,male,krill,adult,overweight,2021
Adelie,Torgensen,31.0,20.6,218.0,4968.0,male,krill,adult,underweight,2021
Adelie,Torgensen,28.3,21.2,214.0,5041.0,male,krill,adult,underweight,2021
Adelie,Torgensen,21.8,21.3,225.0,4815.0,male,krill,juvenile,healthy,2021
Adelie,Torgensen,37.6,21.8,233.0,5541.0,male,krill,adult,healthy,2021
Adelie,Torgensen,18.0,14.4,208.0,3801.0,male,krill,juvenile,underweight,2021
Adelie,Torgensen,35.9,13.9,168.0,3148.0,female,parental,chick,healthy,2021
Adelie,Torgensen,27.0,13.6,172.0,3234.0,female,parental,chick,overweight,2021
Adelie,Torgensen,26.6,13.8,201.0,3246.0,female,parental,chick,overweight,2021
Adelie,Torgensen,29.1,13.5,170.0,3004.0,female,parental,chick,healthy,2021
Adelie,Torgensen,31.1,18.7,169.0,2927.0,female,parental,chick,healthy,2021
Adelie,Torgensen,29.3,12.6,162.0,2982.0,female,parental,chick,healthy,2021
Adelie,Torgensen,35.1,14.7,171.0,3110.0,female,parental,chick,healthy,2021
Adelie,Torgensen,29.3,11.6,169.0,3055.0,female,parental,chick,healthy,2021
Adelie,Torgensen,36.8,14.0,192.0,3155.0,male,parental,chick,underweight,2021
Adelie,Torgensen,26.3,16.6,163.0,3939.0,male,parental,chick,overweight,2021
Adelie,Torgensen,39.2,18.5,184.0,4068.0,male,parental,chick,overweight,2021
Adelie,Torgensen,32.6,13.7,173.0,3623.0,male,parental,chick,healthy,2021
Adelie,Torgensen,34.0,19.6,208.0,3347.0,male,parental,chick,underweight,2021
Adelie,Torgensen,35.9,16.8,194.0,4113.0,male,parental,chick,overweight,2021
Adelie,Torgensen,45.0,16.8,228.0,4846.0,male,squid,juvenile,healthy,2021
Adelie,Torgensen,44.7,16.3,204.0,5096.0,male,squid,juvenile,healthy,2021
Adelie,Torgensen,41.1,21.5,266.0,4414.0,male,squid,adult,underweight,2021
Chinstrap,Dream,60.4,15.1,220.0,7061.0,female,fish,adult,overweight,2021
Chinstrap,Dream,50.9,18.5,235.0,5469.0,female,fish,adult,healthy,2021
Chinstrap,Dream,49.3,22.5,236.0,5080.0,female,fish,adult,healthy,2021
Chinstrap,Dream,38.8,17.8,195.0,4830.0,female,fish,juvenile,overweight,2021
Chinstrap,Dream,54.3,22.0,236.0,6431.0,female,fish,adult,overweight,2021
Chinstrap,Dream,59.9,23.3,213.0,6305.0,female,fish,adult,overweight,2021
Chinstrap,Dream,56.2,19.2,191.0,5473.0,female,fish,juvenile,overweight,2021
Chinstrap,Dream,53.4,20.3,204.0,4543.0,female,fish,juvenile,healthy,2021
Chinstrap,Dream,54.5,20.0,257.0,6628.0,male,fish,adult,overweight,2021
Chinstrap,Dream,59.3,20.4,299.0,7212.0,male,fish,adult,overweight,2021
Chinstrap,Dream,70.9,25.4,253.0,6798.0,male,fish,adult,overweight,2021
Chinstrap,Dream,62.1,17.5,232.0,5848.0,male,fish,juvenile,overweight,2021
Chinstrap,Dream,62.9,16.4,246.0,6423.0,male,fish,juvenile,overweight,2021
Chinstrap,Dream,62.1,20.3,269.0,7121.0,male,fish,adult,overweight,2021
Chinstrap,Dream,21.5,17.1,162.0,3947.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,30.2,15.4,190.0,4103.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,26.7,20.0,186.0,3745.0,female,krill,juvenile,underweight,2021
Chinstrap,Dream,25.7,21.4,180.0,3140.0,female,krill,juvenile,underweight,2021
Chinstrap,Dream,26.2,17.2,189.0,5080.0,female,krill,adult,healthy,2021
Chinstrap,Dream,23.1,22.3,202.0,4478.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,28.3,19.5,180.0,3766.0,female,krill,juvenile,underweight,2021
Chinstrap,Dream,35.9,20.5,198.0,4197.0,female,krill,adult,underweight,2021
Chinstrap,Dream,31.1,17.0,194.0,4458.0,female,krill,adult,underweight,2021
Chinstrap,Dream,23.6,14.7,187.0,4157.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,27.9,17.9,188.0,3579.0,female,krill,juvenile,underweight,2021
Chinstrap,Dream,42.2,19.7,195.0,5038.0,female,krill,adult,healthy,2021
Chinstrap,Dream,33.8,17.4,169.0,3977.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,34.1,20.1,218.0,4528.0,female,krill,adult,healthy,2021
Chinstrap,Dream,27.3,16.6,190.0,3794.0,female,krill,juvenile,underweight,2021
Chinstrap,Dream,28.4,17.6,191.0,3987.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,28.5,18.0,172.0,3804.0,female,krill,juvenile,underweight,2021
Chinstrap,Dream,30.8,23.1,179.0,3403.0,female,krill,juvenile,underweight,2021
Chinstrap,Dream,30.8,13.5,186.0,4780.0,female,krill,juvenile,overweight,2021
Chinstrap,Dream,18.7,18.8,169.0,4079.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,29.5,20.2,194.0,5781.0,female,krill,adult,overweight,2021
Chinstrap,Dream,31.4,18.0,173.0,3946.0,female,krill,juvenile,healthy,2021
Chinstrap,Dream,28.5,20.0,225.0,4705.0,male,krill,juvenile,healthy,2021
Chinstrap,Dream,34.0,21.4,215.0,4634.0,male,krill,adult,underweight,2021
Chinstrap,Dream,31.8,19.6,194.0,4822.0,male,krill,juvenile,healthy,2021
Chinstrap,Dream,30.8,19.7,213.0,6254.0,male,krill,adult,healthy,2021
Chinstrap,Dream,32.2,20.7,254.0,4779.0,male,krill,adult,underweight,2021
Chinstrap,Dream,35.1,18.5,215.0,4591.0,male,krill,juvenile,underweight,2021
Chinstrap,Dream,27.7,20.4,222.0,5602.0,male,krill,juvenile,overweight,2021
Chinstrap,Dream,33.4,21.4,206.0,5189.0,male,krill,adult,underweight,2021
Chinstrap,Dream,27.4,16.5,201.0,3973.0,male,krill,juvenile,underweight,2021
Chinstrap,Dream,28.7,18.8,217.0,4505.0,male,krill,juvenile,underweight,2021
Chinstrap,Dream,32.3,16.2,171.0,2963.0,female,parental,chick,healthy,2021
Chinstrap,Dream,33.4,11.7,163.0,3071.0,female,parental,chick,healthy,2021
Chinstrap,Dream,32.7,20.0,184.0,3089.0,female,parental,chick,healthy,2021
Chinstrap,Dream,31.9,14.5,166.0,3732.0,female,parental,chick,overweight,2021
Chinstrap,Dream,32.6,13.7,159.0,3392.0,female,parental,chick,healthy,2021
Chinstrap,Dream,30.6,18.3,174.0,3170.0,female,parental,chick,healthy,2021
Chinstrap,Dream,30.3,13.7,175.0,3312.0,female,parental,chick,healthy,2021
Chinstrap,Dream,32.4,16.4,178.0,3430.0,female,parental,chick,healthy,2021
Chinstrap,Dream,24.0,13.7,183.0,3272.0,female,parental,chick,healthy,2021
Chinstrap,Dream,33.4,16.1,200.0,3522.0,male,parental,chick,underweight,2021
Chinstrap,Dream,31.5,15.4,171.0,3528.0,male,parental,chick,underweight,2021
Chinstrap,Dream,29.2,19.6,192.0,3859.0,male,parental,chick,healthy,2021
Chinstrap,Dream,36.6,16.9,190.0,3549.0,male,parental,chick,underweight,2021
Chinstrap,Dream,44.1,17.2,208.0,3588.0,male,parental,chick,underweight,2021
Chinstrap,Dream,31.0,16.9,195.0,3765.0,male,parental,chick,healthy,2021
Chinstrap,Dream,35.9,16.2,184.0,3611.0,male,parental,chick,healthy,2021
Chinstrap,Dream,31.8,16.3,181.0,3914.0,male,parental,chick,healthy,2021
Chinstrap,Dream,39.9,17.0,161.0,3829.0,male,parental,chick,healthy,2021
Chinstrap,Dream,38.3,11.1,170.0,3972.0,male,parental,chick,healthy,2021
Chinstrap,Dream,36.1,16.7,184.0,3692.0,male,parental,chick,healthy,2021
Chinstrap,Dream,38.5,18.5,219.0,5464.0,female,squid,adult,healthy,2021
Chinstrap,Dream,40.8,17.8,192.0,5345.0,male,squid,juvenile,healthy,2021
Chinstrap,Dream,53.4,23.4,221.0,7663.0,male,squid,adult,overweight,2021
Chinstrap,Dream,64.1,17.9,219.0,5762.0,male,squid,adult,healthy,2021
Gentoo,Biscoe,51.3,23.3,231.0,5536.0,female,fish,adult,healthy,2021
Gentoo,Biscoe,56.8,20.6,246.0,5718.0,female,fish,adult,healthy,2021
Gentoo,Biscoe,66.5,24.0,259.0,6711.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,56.9,21.6,204.0,6499.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,50.2,18.7,214.0,5733.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,42.9,18.8,192.0,5174.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,48.0,20.0,246.0,5118.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,51.8,21.2,212.0,5297.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,61.4,22.0,231.0,6412.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,40.5,21.5,239.0,5883.0,female,fish,adult,healthy,2021
Gentoo,Biscoe,73.6,21.1,245.0,5092.0,female,fish,adult,healthy,2021
Gentoo,Biscoe,70.7,22.4,251.0,6072.0,female,fish,adult,healthy,2021
Gentoo,Biscoe,71.9,19.7,243.0,6882.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,55.4,18.0,238.0,7492.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,47.1,19.4,220.0,4919.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,55.9,19.0,260.0,6275.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,62.4,16.0,250.0,4356.0,female,fish,juvenile,healthy,2021
Gentoo,Biscoe,62.4,24.2,204.0,7023.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,47.9,12.4,235.0,5701.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,57.7,22.2,250.0,7281.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,66.5,18.9,238.0,7521.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,65.0,19.4,242.0,6492.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,69.7,21.9,202.0,7522.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,60.5,25.7,274.0,6907.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,65.8,20.4,212.0,5122.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,49.9,17.0,245.0,5555.0,female,fish,juvenile,overweight,2021
Gentoo,Biscoe,49.0,20.9,250.0,7035.0,female,fish,adult,overweight,2021
Gentoo,Biscoe,49.7,18.4,213.0,4849.0,female,fish,juvenile,healthy,2021
Gentoo,Biscoe,47.6,15.6,247.0,6343.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,57.9,18.7,226.0,6333.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,46.9,19.6,248.0,7041.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,48.9,20.7,238.0,6418.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,56.9,24.1,250.0,5729.0,male,fish,juvenile,healthy,2021
Gentoo,Biscoe,46.2,23.2,229.0,5908.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,62.5,15.7,229.0,4686.0,male,fish,juvenile,underweight,2021
Gentoo,Biscoe,53.2,24.3,270.0,8754.0,male,fish,adult,overweight,2021
Gentoo,Biscoe,66.8,20.8,247.0,7598.0,male,fish,adult,overweight,2021
Gentoo,Biscoe,60.3,19.9,259.0,7350.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,58.7,23.2,249.0,7082.0,male,fish,adult,healthy,2021
Gentoo,Biscoe,49.5,19.5,222.0,6059.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,88.2,22.6,249.0,8873.0,male,fish,adult,overweight,2021
Gentoo,Biscoe,71.5,24.0,267.0,7926.0,male,fish,adult,overweight,2021
Gentoo,Biscoe,58.5,26.6,296.0,8635.0,male,fish,adult,overweight,2021
Gentoo,Biscoe,60.8,22.9,254.0,8489.0,male,fish,adult,overweight,2021
Gentoo,Biscoe,63.8,19.8,247.0,6342.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,50.3,18.9,251.0,7279.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,59.2,19.0,260.0,10415.0,male,fish,adult,overweight,2021
Gentoo,Biscoe,45.0,19.2,228.0,6217.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,52.9,19.5,233.0,6845.0,male,fish,juvenile,overweight,2021
Gentoo,Biscoe,24.4,19.2,161.0,3945.0,female,krill,juvenile,underweight,2021
Gentoo,Biscoe,22.7,22.8,182.0,3873.0,female,krill,juvenile,underweight,2021
Gentoo,Biscoe,26.9,19.9,167.0,5009.0,female,krill,juvenile,overweight,2021
Gentoo,Biscoe,27.6,20.0,196.0,4192.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,25.1,20.1,176.0,3713.0,female,krill,juvenile,underweight,2021
Gentoo,Biscoe,24.3,19.3,192.0,4161.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,27.7,20.5,219.0,4653.0,female,krill,adult,underweight,2021
Gentoo,Biscoe,44.9,21.2,206.0,4889.0,female,krill,adult,underweight,2021
Gentoo,Biscoe,26.2,21.5,228.0,5547.0,female,krill,adult,healthy,2021
Gentoo,Biscoe,35.8,20.9,231.0,5549.0,female,krill,adult,healthy,2021
Gentoo,Biscoe,30.8,23.5,195.0,4580.0,female,krill,adult,underweight,2021
Gentoo,Biscoe,36.2,23.3,202.0,4726.0,female,krill,adult,underweight,2021
Gentoo,Biscoe,26.8,16.6,188.0,4073.0,female,krill,juvenile,underweight,2021
Gentoo,Biscoe,28.1,20.9,185.0,4479.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,35.0,19.0,196.0,4568.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,30.4,18.4,165.0,4849.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,25.5,22.4,200.0,4712.0,female,krill,adult,underweight,2021
Gentoo,Biscoe,39.0,19.6,164.0,3606.0,female,krill,juvenile,underweight,2021
Gentoo,Biscoe,27.7,17.2,189.0,4612.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,24.3,20.6,225.0,4778.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,23.2,18.8,187.0,3846.0,female,krill,juvenile,underweight,2021
Gentoo,Biscoe,25.1,20.6,183.0,5155.0,female,krill,juvenile,overweight,2021
Gentoo,Biscoe,27.8,19.0,206.0,4121.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,22.4,20.6,186.0,4269.0,female,krill,juvenile,healthy,2021
Gentoo,Biscoe,26.3,20.9,191.0,3598.0,female,krill,juvenile,underweight,2021
Gentoo,Biscoe,24.4,22.3,214.0,4183.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,26.9,23.8,215.0,5624.0,male,krill,juvenile,healthy,2021
Gentoo,Biscoe,39.6,19.6,225.0,6926.0,male,krill,adult,healthy,2021
Gentoo,Biscoe,27.2,19.5,183.0,4812.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,33.2,20.2,173.0,4754.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,39.0,23.0,213.0,5901.0,male,krill,adult,underweight,2021
Gentoo,Biscoe,28.9,19.8,211.0,5548.0,male,krill,juvenile,healthy,2021
Gentoo,Biscoe,34.8,20.8,214.0,4912.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,36.5,17.7,219.0,4857.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,26.9,26.4,232.0,5880.0,male,krill,adult,underweight,2021
Gentoo,Biscoe,29.3,17.0,230.0,4562.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,26.9,17.9,222.0,4447.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,49.0,24.5,238.0,5839.0,male,krill,adult,underweight,2021
Gentoo,Biscoe,33.8,18.5,216.0,4385.0,male,krill,juvenile,underweight,2021
Gentoo,Biscoe,43.6,23.1,219.0,5285.0,male,krill,adult,underweight,2021
